track_name,track_id,duration_ms,album_name,release_date,label,album_popularity,album_id,artist_id,duration_sec
Hardcore Rock,1v65mK0yVSilGzyFs3NoH0,92760,Hardcore Rock,2020-02-28 00:00:00 UTC,Skumbag Records,0,0R2U2bbZPVbLM89BchwdKD,09GyGcAuvdKLbIVCVNeDxU,92.76
You'Ll Never Be Able To Escape From Yourself,2AqtZwyFUIyGBfLaGkTNZk,177330,You'Ll Never Be Able To Escape From Yourself,2021-03-17 00:00:00 UTC,SM 004869 Releases,0,0bEk2JxNY0f60cpVEWeSsA,6qSZBpbx8xgmJYnAVaaoqb,177.33
"White Walls (In The Style Of Macklemore, Ryan Lewis, Schoolboy Q & Hollis) [Karaoke Instrumental Version]",3unzf8TBpvE2x53mOJIM5w,352210,"White Walls (In The Style Of Macklemore, Ryan Lewis, Schoolboy Q & Hollis) [Karaoke Instrumental Version] - Single",2013-11-14 00:00:00 UTC,Singsongs Music Limited,0,0sw8m8D3aTqHZjLvkO5CK0,46Ii49KGTckWh6cx3wObIo,352.21
Too Much Soul,3b8dSvxkTnIw4jREhojHo3,212507,Too Much Soul,2022-07-15 00:00:00 UTC,B.R.I.L. Aura,0,1CWYj7WFI43mLkKdUsXcQi,2FN7MrB9txNTc1bSTvzC2U,212.507
About The Soul,42nR3lkHHbj7SAsbDdNG7Y,315542,About The Soul,2022-07-21 00:00:00 UTC,Joe Adhemar,0,1Kq8Vno4uwV9uchTPGGuTU,2bkD5DSoFQ0PbnBbWoESZK,315.542
Stand To Abandon,72rxJyXrxs5bGkMheCYuCN,249463,Stand To Abandon,2021-11-29 00:00:00 UTC,Soul Phlegm,0,1PziqclLVlnSe1kOf95GYw,1YK3f6WFHbSB55Pk2bMN38,249.463
I Wanna Rock Witcha,5htj23HVg8fyQ16N7qch8k,186899,I Wanna Rock Witcha,2020-06-19 00:00:00 UTC,Independent,0,1UB3FkeWDRQVbmqNURerrU,7KlFC64Fuq4PXllFG0kKhO,186.899
Soul,6PvjVxjRkIbvnWY8u7sLfk,169791,Soul,2022-12-01 00:00:00 UTC,Abruh Music,0,1ddPifxA5Th0kAJcudnwjN,6lDoCTI3b0GslcdgPpWMcF,169.791
Free Souls,64vDGndHtg4VeDkCumqDz8,316030,Free Souls,2018-12-02 00:00:00 UTC,Zamir Abbud Music,0,1jnSGzn6evIbXVOwDcCK2I,39sQzwiWcPOhKPtFe4XBFC,316.03
Hard Rock - Instrumental,1XxARQFt3oegpXFRWFhUkc,148500,Hard Rock (Instrumental),2020-12-12 00:00:00 UTC,1579600 Records DK,0,1mJ93EpcCrK33xbutIMyAV,0axA1YjfJzDGos7uTWCTEi,148.5
Prosperidad Universal / Abre Todos Los Caminos / Atrae Abundancia Y Plenitud,2cR0GHgn2YaFrx53ogZOuq,3661010,Prosperidad Universal / Abre Todos Los Caminos / Atrae Abundancia Y Plenitud,2022-04-14 00:00:00 UTC,3589428 Records DK,0,2VZ4y5OEYFDVFHn7uuNHlM,2ZzxSgcTyj4wQntd0AZu8i,3661.01
Pocket Rocket(Radio Edit),5yxdVQH0RJDj63WrLcdGnz,162716,Pocket Rocket(Radio Edit),2019-08-11 00:00:00 UTC,X5 entertainment,0,2WTIH36raNlG1j4JChhLB9,53t9lMr52lnTBTztaQ96In,162.716
Moon Rock - Radio,0HSEu0Ueu9a44XX4gtT0xm,206400,Moon Rock,2017-04-20 00:00:00 UTC,Front Runners Music Group,0,2g8Z8Jn73hvGsvgAEU583y,59uEPUg8gC6KzwWu64tmAr,206.4
Electric Body (Originally Performed By Asap Rocky And Schoolboy Q) - Karaoke Instrumental,1IyJb5jUf5hBg86EQsKWgm,245393,Electric Body (Originally Performed By Asap Rocky And Schoolboy Q) [Karaoke Instrumental],2015-05-29 00:00:00 UTC,Vocal Freakz,0,2g9b7XEz8JPvZlNh0bH9ov,4VeLu2hgyI2ZjGi8QGlpaR,245.393
All About U,76afridrgNA5OAmIz0ViZN,192000,All About U,2021-02-14 00:00:00 UTC,Soul Signa,0,2sVezUjiUaf3VZhx2yGxSB,65cMsFh0bA7CE4rGmWIGqG,192.0
