id,name,artist_popularity,followers,genre
0LyfQWJT6nXafLPZqxe9Of,Various Artists,0,2316620,
0axA1YjfJzDGos7uTWCTEi,Jay Jean,0,30,
1wGeXDyz0lExkylok5ThRP,VERFLACK,0,0,
1ABFLIvgieVQgMG2DViZBV,Darkwolf Luxury Operations,0,6,
4VeLu2hgyI2ZjGi8QGlpaR,Vocal Freakz,0,16,
5vttcavgtEsQ7YtPE9etGv,Karaoke Radar,0,7,
5iCv2liqLhw3trm2obHs2m,Jesse Mess,0,0,
53t9lMr52lnTBTztaQ96In,Jaybethetrapper,0,104,
06uRmWuRVX1VAWK2tzWCSe,Soultique Vine,0,5,
0QoegFd5whl5PZCdnzETSv,AbyssDryan,0,2,
3KPE6CKlNGl6gc6blZYir7,Likht,0,26,
3A41fhSiBqpVjZBW6J5LfY,aBSOLUTNO,0,24,
6rGEzy9HKs8rWpyNRJxYhe,The Abandoned Hearts Club,0,58,
6c9IzrHBT281NyC3m4ENju,Tee Jay Brown,0,2,
3Pdad1LrQM1Ia90iYRXjZX,Absydia,0,7,
0OKsfnhnhCpEVc5CiSyXn9,12 Inches A Slave,0,5,
7AeLNxCf7NKiD3h1Q1tUTC,Under Changeover,0,115,
73PW9jaLIOwx7IPK6hq0eL,Sim Beu Geum,0,7,
158qlIrJvvDmCegrETvmvs,Soulhowl,0,18,
12lmBBMRiEWpuM6vBnNYZz,Abyssal Agony,0,33,
5SwzcdO5bAs4A3UbtOXMPN,Jay Richardson & Ronnie Richardson,0,2,
0TUTshlj0LH5GzskGd2hbY,Studio 34,0,8,
5j94VEDbOkFSbnXQZXZU7B,Adrian Gonzo,0,16,
4j1dA5IY2gOQsgEp46BBTp,Spectral soul,0,34,
3o4fFpeUfQnpSWg5wnyYsx,Nancy Abercrombie,0,2,
6lDoCTI3b0GslcdgPpWMcF,Abruh,0,9,
5Etk2i35bo4IXBB1lEPkT1,Flat Sucks,0,67,
1FqOQvT7FagNXAlodXoQRu,Black Deer,0,31,
09GyGcAuvdKLbIVCVNeDxU,Jayrahx,0,114,
39g6mG7JH36plOV9dMcxom,Coastal Bend,0,10,
3UwG4hSRabVBVRFnNJJrDR,Schoolconcerten,0,0,
4AGkWKpn6nNPAtHanITZ6z,Ensemble Tamatakia,0,44,
1OAaIHzL4plidaReOnzTHQ,Jayface,0,39,
2upzuby5JJI3LUzuOJy6ba,school portraits,0,128,
3wXusyOzUzopUEOmeufteb,Moore Orange,0,27,
2FR36pdfKnlk77obi6qi3e,Rock n Roll Jay,0,39,
3Q8fv6ZYqiWwvThSI7yVID,Jay Cooper,0,4,
13WpiVdIF1O2i9HnK84nGm,Martin Clancy & The Witness Protection Programme,0,36,
5F0Co1ZpcDdklEiuoPNHnn,A.B.O,0,70,
2Ee5sSVn4tGZzO5RpkZ8N8,Loud Soul Disease,0,4,
5v8mq9tOzkI6Id4fSkt12z,Little Jay Fox,0,129,
59uEPUg8gC6KzwWu64tmAr,Nikko Starr,0,3,
4mGXkNQ2oOMSgZunsWL3a7,Ron Kristy,0,46,
